,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,73.44938659667969,156.1519317626953,309.6949462890625,28.68400001525879,75.0875015258789,160.6199951171875,324.8699951171875,28.68400001525879,75.1500015258789,160.72999572753906,324.8900146484375,28.713333129882812,73.79750061035156,158.3300018310547,322.5299987792969,28.11400032043457,74.05999755859375,158.77999877929688,323.5400085449219,28.299999237060547,135480400,22622100,59151200,142981500
2020-01-03,72.73529815673828,154.20755004882812,307.3497619628906,29.534000396728516,74.35749816894531,158.6199951171875,322.4100036621094,29.534000396728516,75.1449966430664,159.9499969482422,323.6400146484375,30.266666412353516,74.125,158.05999755859375,321.1000061035156,29.128000259399414,74.2874984741211,158.32000732421875,321.1600036621094,29.366666793823242,146322800,21116200,77709700,266677500
2020-01-06,73.31488037109375,154.60617065429688,308.5223693847656,30.1026668548584,74.94999694824219,159.02999877929688,323.6400146484375,30.1026668548584,74.98999786376953,159.10000610351562,323.7300109863281,30.104000091552734,73.1875,156.50999450683594,320.3599853515625,29.333332061767578,73.44750213623047,157.0800018310547,320.489990234375,29.364667892456055,118387200,20813700,55653900,151995000
2020-01-07,72.97008514404297,153.19650268554688,307.6548767089844,31.270666122436523,74.59750366210938,157.5800018310547,322.7300109863281,31.270666122436523,75.2249984741211,159.6699981689453,323.5400085449219,31.441999435424805,74.37000274658203,157.32000732421875,322.239990234375,30.224000930786133,74.95999908447266,159.32000732421875,323.0199890136719,30.760000228881836,108872000,21634100,40496400,268231500
2020-01-08,74.14390563964844,155.63668823242188,309.29461669921875,32.80933380126953,75.79750061035156,160.08999633789062,324.45001220703125,32.80933380126953,76.11000061035156,160.8000030517578,325.7799987792969,33.232666015625,74.29000091552734,157.9499969482422,322.6700134277344,31.215333938598633,74.29000091552734,158.92999267578125,322.94000244140625,31.579999923706055,132079200,27746500,68296000,467164500
2020-01-09,75.71878051757812,157.58103942871094,311.3917236328125,32.089332580566406,77.40750122070312,162.08999633789062,326.6499938964844,32.089332580566406,77.60749816894531,162.22000122070312,326.7300109863281,33.253334045410156,76.55000305175781,161.02999877929688,325.5199890136719,31.524667739868164,76.80999755859375,161.83999633789062,326.1600036621094,33.13999938964844,170108400,21385000,48473300,426606000
2020-01-10,75.88996124267578,156.8518829345703,310.49566650390625,31.876667022705078,77.5824966430664,161.33999633789062,325.7099914550781,31.876667022705078,78.1675033569336,163.22000122070312,327.4599914550781,32.3293342590332,77.0625,161.17999267578125,325.20001220703125,31.579999923706055,77.6500015258789,162.82000732421875,327.2900085449219,32.11933135986328,140644800,20725900,53029300,194392500
2020-01-13,77.51129150390625,158.73793029785156,312.6310119628906,34.990665435791016,79.23999786376953,163.27999877929688,327.95001220703125,34.990665435791016,79.26750183105469,163.30999755859375,327.9599914550781,35.04199981689453,77.7874984741211,161.25999450683594,325.9200134277344,32.79999923706055,77.91000366210938,161.75999450683594,326.3900146484375,32.900001525878906,121532000,21626500,47086800,397764000
